window,alpha
0,0.03379917
0,0.07448870
0,0.06612227
0,0.03375367
0,-0.01769390
0,0.11708366
0,0.05659854
0,0.07754821
0,0.03718724
0,0.05753228
0,0.06907702
0,-0.00096048
0,0.02063404
0,0.01400424
0,0.07010224
0,0.00637608
0,0.01183124
0,0.06182464
0,0.06827517
0,0.00021421
0,0.11223472
0,0.06009909
0,0.07167811
0,0.11298421
0,0.02521096
0,0.08635447
0,0.02099032
0,0.07266027
0,0.00998894
0,0.00105902
0,-0.00228033
0,0.03482293
0,0.03940824
0,-0.00714482
0,0.00048281
0,0.05245577
0,0.03714446
0,0.06040509
0,-0.00295778
0,0.12461564
0,0.05078789
0,0.07003517
0,0.10947719
0,-0.01921523
0,0.02528971
0,0.01894321
0,0.04312613
0,0.04892936
0,0.06092163
0,0.05309604
0,0.06671315
0,-0.00676361
0,0.00627203
0,0.10933214
0,0.03101736
0,0.02883039
0,0.01908464
0,0.07771884
0,0.05216496
0,-0.01704415
0,0.06133910
0,0.01134483
0,0.04892489
0,0.03981516
0,-0.00776267
0,0.00166566
0,0.02804529
0,0.06786218
0,0.10903439
0,0.01389515
0,0.00551287
0,0.03535005
0,0.00478485
0,0.00434197
0,-0.01797947
0,0.04214053
0,0.06776848
0,0.08111317
0,0.03343876
0,-0.00894361
0,0.05371822
0,0.12440393
0,0.02428528
0,0.11940414
0,0.08152822
0,0.05768606
0,-0.01112838
0,0.01005465
0,0.00105585
0,0.10437039
0,0.01217952
0,-0.00710693
0,-0.03492945
0,0.05401482
0,-0.01148984
0,-0.00518670
0,0.00729523
0,0.05580911
0,-0.00362673
0,0.12598111
0,0.03213569
0,0.04071215
0,0.01848835
0,0.03585644
0,0.03015427
0,0.06711031
0,0.02554040
0,0.11461196
0,0.03134570
0,0.08165008
0,0.07744353
0,0.04643125
0,-0.01882558
0,0.00757614
0,0.01067914
0,0.04978788
0,-0.00667049
0,0.12119494
0,-0.01531157
0,0.07918470
0,0.04896954
0,0.09082306
0,0.13689913
0,0.08459545
0,0.06317664
0,0.05072810
0,-0.01226407
0,-0.02891296
0,0.00930460
0,0.05283267
0,0.06974915
0,0.03534083
0,0.03765769
0,0.02925180
0,0.05012029
0,0.03078366
0,0.07852054
0,-0.01735437
0,-0.00101718
0,-0.01509010
0,0.01750441
0,0.06483503
0,-0.02128689
0,-0.01915778
0,0.01757099
0,0.05000930
0,-0.01910958
0,0.01173181
0,0.02867035
0,0.02343963
0,0.03122665
0,-0.00566515
0,0.04545392
0,0.04870538
0,0.00812720
0,-0.01118189
0,0.02732650
0,0.08012377
0,0.03626345
0,-0.03203227
0,0.02609930
0,0.06031739
0,-0.04525822
0,0.03873032
0,0.01586510
0,0.11582849
0,0.04240142
0,0.05012782
0,-0.05539318
0,0.00722740
0,-0.02486091
0,-0.02740138
0,-0.00985066
0,0.03474834
0,0.05449304
0,0.00194081
0,0.03111419
0,0.02045528
0,-0.03179813
0,0.03199206
0,0.04960698
0,0.05160695
0,-0.01444670
0,0.00475590
0,0.10260051
0,0.10591063
0,-0.02076372
0,-0.04044544
0,0.04523460
0,-0.03029610
0,-0.00048080
0,0.00326793
0,0.01120315
0,0.04866643
0,0.08460654
0,0.05849860
0,0.00609793
0,-0.00550757
0,0.05788734
0,-0.02350644
0,0.07294341
0,-0.01164224
0,-0.01910594
0,0.01327956
0,0.03280966
0,0.02787728
0,0.00545889
0,-0.01804747
0,0.00452171
0,0.09118503
0,0.02690787
0,0.00137905
0,-0.00531402
0,-0.00096400
0,-0.00748765
0,0.04339933
0,0.04572514
0,-0.00032528
0,0.03448323
0,0.03541664
0,0.02987934
0,0.10430796
0,0.04929506
0,0.02179621
0,0.03442835
0,0.05070214
0,0.10716310
0,0.02223866
0,-0.00591017
0,0.10008445
0,0.03297428
0,0.19747889
0,0.04626209
0,0.07583153
0,-0.00840463
0,-0.00424279
0,0.00883938
1,-0.01265667
1,-0.00535732
1,-0.00868033
1,0.02709142
1,0.05145968
1,0.05453630
1,-0.00843266
1,0.00276128
1,0.00159296
1,0.14182676
