model,oos_return
Market,-0.006974
Market,-0.038027
Market,-0.014894
Market,0.002889
Market,0.033595
Market,0.047738
Market,-0.047636
Market,-0.008016
Market,-0.000192
Market,-0.033672
Market,-0.025121
Market,0.000439
Market,-0.036985
Market,0.015527
Market,0.058851
Market,0.035068
Market,-0.006382
Market,-0.042388
Market,-0.023158
Market,0.060296
Market,0.003872
Market,-0.003288
Market,0.000300
Market,-0.068857
Market,-0.000160
Market,0.001324
Market,0.000386
Market,-0.000172
Market,0.000901
Market,0.000465
Market,0.000696
Market,0.001940
Market,0.000425
Market,0.001611
Market,-0.001430
Market,0.001704
Market,0.050633
Market,-0.004109
Market,0.077804
Market,0.028547
Market,0.090817
Market,0.048023
Market,-0.019716
Market,-0.016022
Market,0.088457
Market,-0.193459
Market,0.146538
Market,-0.022959
Market,-0.180119
Market,-0.337798
Market,-0.076546
Market,0.023241
Market,-0.003746
Market,-0.023714
Market,-0.072960
Market,-0.063542
Market,0.021915
Market,0.059711
Market,-0.170828
Market,0.040985
Market,0.140059
Market,0.151662
Market,0.188983
Market,-0.034474
Market,0.031976
Market,0.045399
Market,-0.122976
Market,0.085488
Market,0.038421
Market,0.096937
Market,0.064490
Market,0.119486
FF5,-1.639279
FF5,-0.007100
FF5,0.385031
FF5,-0.065938
FF5,0.474894
FF5,1.021152
FF5,-0.255458
FF5,-0.937394
FF5,1.355200
FF5,-0.029218
FF5,-0.216910
FF5,0.626344
FF5,0.142267
FF5,-0.615345
FF5,0.184177
FF5,-0.249455
FF5,-0.214829
FF5,-0.457871
FF5,-0.303185
FF5,-0.062676
FF5,-0.155359
FF5,0.542824
FF5,-1.041245
FF5,-0.190061
FF5,-0.720216
FF5,0.136613
FF5,-0.287022
FF5,-0.270933
FF5,-0.446174
FF5,-0.178489
FF5,0.286816
FF5,0.557621
FF5,1.267578
FF5,-0.091954
FF5,0.225962
FF5,-0.220443
q-factor,-0.168450
q-factor,0.017866
q-factor,0.001554
q-factor,-0.153799
q-factor,0.391104
q-factor,0.657185
q-factor,-0.182814
q-factor,-0.774069
q-factor,0.531705
q-factor,-0.062291
q-factor,0.260117
q-factor,0.188698
q-factor,-0.045754
q-factor,-0.239403
q-factor,-0.296994
q-factor,-0.005509
q-factor,-0.009030
q-factor,0.072990
q-factor,-0.061081
q-factor,-0.041799
q-factor,0.187305
q-factor,0.287440
q-factor,-0.174313
q-factor,0.143518
q-factor,-0.544208
q-factor,-0.033349
q-factor,-0.496900
q-factor,-0.229111
q-factor,-0.248258
q-factor,-0.250983
q-factor,0.116374
q-factor,0.551919
q-factor,0.541836
q-factor,-0.120989
q-factor,0.204109
q-factor,-0.218050
PCA(5),-0.107357
PCA(5),-0.228275
PCA(5),-0.018591
PCA(5),0.106975
PCA(5),0.122261
PCA(5),0.114324
PCA(5),-0.279651
PCA(5),-0.016451
PCA(5),-0.000564
PCA(5),-0.140423
PCA(5),-0.096693
PCA(5),0.032282
PCA(5),0.061659
PCA(5),0.051166
PCA(5),0.083459
PCA(5),0.059603
PCA(5),0.048256
PCA(5),0.017276
PCA(5),0.009157
PCA(5),0.016775
PCA(5),0.122340
PCA(5),0.057062
PCA(5),0.056075
PCA(5),0.031657
PCA(5),-0.075197
PCA(5),-0.020153
PCA(5),0.019183
PCA(5),0.099449
PCA(5),0.010861
PCA(5),-0.155405
PCA(5),-0.005326
PCA(5),0.001537
PCA(5),-0.087282
PCA(5),0.019298
PCA(5),-0.047270
PCA(5),0.021657
PCA(5),-0.017000
PCA(5),0.043444
PCA(5),0.088764
PCA(5),0.078276
PCA(5),-0.006685
PCA(5),0.007413
PCA(5),-0.030308
PCA(5),-0.029596
PCA(5),0.064437
PCA(5),-0.120997
PCA(5),0.120311
PCA(5),-0.025794
PCA(5),-0.096016
PCA(5),-0.228139
PCA(5),-0.043530
PCA(5),0.161547
PCA(5),-0.010063
PCA(5),-0.080344
PCA(5),-0.035768
PCA(5),0.052008
PCA(5),0.312963
PCA(5),0.230216
PCA(5),-0.104519
PCA(5),-0.027709
PCA(5),-0.044061
PCA(5),0.094757
PCA(5),0.243712
PCA(5),-0.097993
PCA(5),-0.106494
PCA(5),-0.006173
PCA(5),-0.046608
PCA(5),0.338549
PCA(5),0.264499
PCA(5),0.022364
PCA(5),0.174895
PCA(5),0.070940
LASSO,0.006289
LASSO,0.016264
LASSO,0.091879
LASSO,0.047414
LASSO,-0.013371
LASSO,-0.058790
LASSO,-0.027789
LASSO,0.064182
LASSO,0.047799
LASSO,0.012424
LASSO,0.001797
LASSO,-0.101482
LASSO,-0.003713
LASSO,-0.040946
LASSO,-0.013933
LASSO,0.002663
LASSO,-0.040657
LASSO,-0.023611
LASSO,-0.022028
LASSO,-0.048383
LASSO,-0.020952
LASSO,-0.029309
LASSO,0.032213
LASSO,-0.050997
LASSO,-0.049492
LASSO,0.002079
LASSO,-0.072862
LASSO,-0.037629
LASSO,-0.037050
LASSO,0.002585
LASSO,-0.010349
LASSO,0.005290
LASSO,-0.053577
LASSO,0.079668
LASSO,-0.105945
LASSO,0.025307
LASSO,0.083018
LASSO,0.150170
LASSO,-0.006956
LASSO,-0.054153
LASSO,-0.017089
LASSO,-0.008151
LASSO,0.036195
LASSO,0.051555
LASSO,-0.011186
LASSO,-0.024182
LASSO,0.037554
LASSO,-0.053523
LASSO,0.024598
LASSO,0.090504
LASSO,0.129931
LASSO,-0.017963
LASSO,-0.032276
LASSO,0.000895
LASSO,-0.053110
LASSO,0.099341
LASSO,0.074375
LASSO,0.083464
LASSO,0.030910
LASSO,0.068209
