model,oos_return
Market,0.258771
Market,-0.129270
Market,0.213766
Market,0.147986
Market,0.329082
Market,0.205793
Market,-0.104707
Market,-0.118309
Market,-0.090462
Market,-0.056926
Market,-0.084289
Market,-0.151921
Market,0.402094
Market,-0.259404
Market,-0.242279
Market,0.192964
Market,0.095916
Market,-0.309084
Market,-0.330906
Market,-0.062160
Market,0.407812
Market,0.076890
Market,-0.130304
Market,0.242761
Market,-0.078102
Market,-0.064932
Market,0.041712
Market,0.021968
Market,-0.088102
Market,-0.057878
Market,0.202104
Market,-0.047949
Market,0.124251
Market,-0.031654
Market,-0.035013
Market,0.022934
Market,-0.012920
Market,0.042414
Market,-0.004010
Market,0.032752
Market,0.019147
Market,-0.057749
Market,-0.031931
Market,-0.059723
Market,-0.021262
Market,-0.043197
Market,0.003825
Market,-0.003591
Market,0.024173
Market,0.006593
Market,-0.005280
Market,0.007532
Market,0.037784
Market,0.008769
Market,0.054920
Market,-0.099983
Market,-0.032938
Market,-0.124446
Market,-0.056583
Market,0.094516
Market,-0.002840
Market,0.081263
Market,0.171452
Market,-0.036051
Market,-0.048398
Market,0.004461
Market,0.003514
Market,0.005317
Market,0.053346
Market,0.038892
Market,0.028523
Market,0.039973
Market,-0.056309
Market,0.194071
Market,0.282700
Market,-0.175222
Market,0.076948
Market,0.294145
Market,0.348641
Market,0.148577
Market,0.179673
Market,1.050515
Market,0.468460
Market,1.182817
Market,0.855143
Market,-0.422848
Market,-0.557330
Market,-0.145296
Market,0.243297
Market,-0.382745
Market,-0.531764
Market,-0.239598
Market,0.029515
Market,-0.223939
Market,-0.431027
Market,0.171131
Market,0.084821
Market,0.112079
Market,-0.100580
Market,-0.148617
Market,0.022038
Market,-0.005562
Market,-0.130996
Market,-0.024906
Market,0.141103
Market,0.118160
Market,-0.026774
Market,-0.050677
Market,-0.118901
Market,-0.022638
Market,-0.109147
Market,-0.101387
Market,0.138541
Market,0.152818
Market,-0.054870
Market,0.218764
Market,0.151728
Market,0.264279
Market,-0.136807
Market,-0.103766
Market,-0.143151
Market,0.061436
Market,-0.033389
Market,-0.100575
Market,0.036253
Market,0.059948
Market,-0.077812
Market,-0.062139
Market,0.106677
Market,-0.024391
Market,-0.141896
Market,-0.039316
Market,-0.021122
Market,-0.008569
Market,0.001604
Market,-0.051082
Market,0.144389
Market,0.116152
Market,-0.000410
Market,-0.009760
Market,-0.034701
Market,0.110184
Market,-0.027754
Market,-0.121706
FF5,1.618124
FF5,0.436344
FF5,0.333774
FF5,0.206104
FF5,1.486396
FF5,0.770741
FF5,-0.347456
FF5,-0.260880
FF5,0.116567
FF5,-0.246326
FF5,0.112068
FF5,-0.451228
FF5,0.297919
FF5,0.023668
FF5,0.214427
FF5,0.557422
FF5,0.265051
FF5,-0.455087
FF5,-0.689833
FF5,-0.058520
FF5,0.302769
FF5,0.033014
FF5,-0.473271
FF5,0.060008
FF5,0.142672
FF5,-0.129069
FF5,-0.162724
FF5,-0.195547
FF5,0.077475
FF5,-0.115001
FF5,1.018501
FF5,0.359854
FF5,-0.205603
FF5,0.304275
FF5,0.178794
FF5,-0.251948
FF5,0.038886
FF5,0.022132
FF5,0.496994
FF5,0.039544
FF5,-0.002796
FF5,-0.299983
FF5,0.085073
FF5,0.124713
FF5,0.273247
FF5,0.821694
FF5,-0.239260
FF5,-0.049408
FF5,0.263638
FF5,-0.162748
FF5,-0.061533
FF5,-0.472542
FF5,-0.220637
FF5,-0.439646
FF5,-0.074410
FF5,0.170937
FF5,-0.093270
FF5,-0.027021
FF5,0.514721
FF5,-0.183152
FF5,0.143536
FF5,-0.495847
FF5,1.453311
FF5,-0.681137
FF5,0.320785
FF5,-0.225320
FF5,0.602164
FF5,-0.100800
FF5,-0.022752
FF5,1.367730
FF5,0.522384
FF5,0.193168
FF5,0.452993
FF5,1.284745
FF5,0.593909
FF5,-0.403789
FF5,0.543577
FF5,0.561438
FF5,-0.297412
FF5,0.764981
FF5,0.467800
FF5,-0.475877
FF5,-0.729180
FF5,-1.122142
FF5,-1.069888
FF5,-0.113939
FF5,0.243908
FF5,-0.540965
FF5,0.575181
FF5,1.050317
FF5,0.088015
FF5,0.255725
FF5,0.179746
FF5,-0.039696
FF5,-0.067182
FF5,0.028485
FF5,0.328380
FF5,0.238660
FF5,0.013453
FF5,-0.333116
FF5,-0.160157
FF5,0.189276
FF5,-0.230671
FF5,-0.066531
FF5,0.298556
FF5,0.195598
FF5,0.057031
FF5,-0.150249
FF5,-0.036958
FF5,0.179673
FF5,-0.175544
FF5,-0.076791
FF5,0.429485
FF5,0.522674
FF5,0.165704
FF5,0.513384
FF5,0.387178
FF5,0.733985
FF5,-0.453493
FF5,0.099531
FF5,-0.104391
FF5,0.270694
FF5,-0.082089
FF5,-0.121314
FF5,0.117516
FF5,0.103334
FF5,-0.095232
FF5,-0.017159
FF5,0.383197
FF5,-0.143426
FF5,-0.296511
FF5,0.078835
FF5,0.137427
FF5,0.117883
FF5,0.170198
FF5,-0.216339
FF5,0.676468
FF5,0.352225
FF5,0.028979
FF5,-0.040459
FF5,-0.089596
FF5,0.702558
FF5,-0.010842
FF5,-0.278662
q-factor,1.164027
q-factor,0.449433
q-factor,0.344803
q-factor,0.132799
q-factor,1.067173
q-factor,0.934178
q-factor,0.160135
q-factor,-0.184421
q-factor,0.020309
q-factor,-0.396872
q-factor,0.172125
q-factor,-0.411815
q-factor,0.057550
q-factor,0.264637
q-factor,0.160608
q-factor,0.725245
q-factor,0.352013
q-factor,-0.308881
q-factor,-0.572150
q-factor,0.139550
q-factor,0.179069
q-factor,0.122769
q-factor,-0.229199
q-factor,0.362143
q-factor,0.005134
q-factor,0.046933
q-factor,0.067332
q-factor,-0.321102
q-factor,0.126714
q-factor,-0.011240
q-factor,0.720365
q-factor,0.196391
q-factor,-0.491574
q-factor,0.691851
q-factor,0.529410
q-factor,-0.168557
q-factor,0.059618
q-factor,0.320384
q-factor,0.919540
q-factor,-0.232401
q-factor,-0.271952
q-factor,-0.412499
q-factor,0.183534
q-factor,0.241056
q-factor,0.382209
q-factor,1.412917
q-factor,-0.325485
q-factor,0.061373
q-factor,0.446220
q-factor,0.030861
q-factor,0.335613
q-factor,-0.587881
q-factor,-0.208655
q-factor,-0.494953
q-factor,-0.476147
q-factor,0.016940
q-factor,-0.082356
q-factor,0.322789
q-factor,0.509758
